host_name,planet_letter,planet_name,num_planets_in_system,discovery_year,num_moons,link_to_wiki
11 Com,b,11 Com b,1,2007,0,http://exoplanet.eu/catalog/11_com_b/
11 UMi,b,11 UMi b,1,2009,0,http://exoplanet.eu/catalog/11_umi_b/
14 And,b,14 And b,1,2008,0,http://exoplanet.eu/catalog/14_and_b/
14 Her,b,14 Her b,1,2002,0,http://exoplanet.eu/catalog/14_her_b/
16 Cyg B,b,16 Cyg B b,1,1996,0,http://exoplanet.eu/catalog/16_cyg_b_b/
18 Del,b,18 Del b,1,2008,0,http://exoplanet.eu/catalog/18_del_b/
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,1,2008,0,http://exoplanet.eu/catalog/1rxs_1609_b/
24 Boo,b,24 Boo b,1,2018,0,http://exoplanet.eu/catalog/24_boo_b/
24 Sex,b,24 Sex b,2,2010,0,http://exoplanet.eu/catalog/24_sex_b/
24 Sex,c,24 Sex c,2,2010,0,http://exoplanet.eu/catalog/24_sex_c/
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,1,2013,0,http://exoplanet.eu/catalog/2m_0122-24_b/
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,1,2015,0,http://exoplanet.eu/catalog/2m_0219-39_b/
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,1,2010,0,http://exoplanet.eu/catalog/2m_0441%2B23_b/
2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,1,2004,0,http://exoplanet.eu/catalog/2m1207_b/
2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,1,2015,0,http://exoplanet.eu/catalog/2m_1938%2B46_b/
2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,1,2009,0,http://exoplanet.eu/catalog/2m_2140+16_b/
2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,1,2016,0,http://exoplanet.eu/catalog/2m_2236%2B4751_b/
30 Ari B,b,30 Ari B b,1,2009,0,http://exoplanet.eu/catalog/30_ari_b_b/
4 UMa,b,4 UMa b,1,2006,0,http://exoplanet.eu/catalog/4_uma_b/
42 Dra,b,42 Dra b,1,2008,0,http://exoplanet.eu/catalog/42_dra_b/
47 UMa,b,47 UMa b,3,1996,0,http://exoplanet.eu/catalog/47_uma_b/
